Type,Datetime,Account,Amount,Value,Rate,Fee,Sub Type
Market,"Nov. 11, 2015, 02:08 AM",Main Account,17.80810456 BTC,5663.87 USD,318.05 USD,11.33 USD,Buy
Market,"Nov. 11, 2015, 02:08 AM",Main Account,31.75563304 BTC,10099.88 USD,318.05 USD,20.20 USD,Buy
Withdrawal,"Nov. 11, 2015, 02:10 AM",Main Account,50.00000000 BTC,,,,
Market,"Nov. 25, 2015, 09:39 AM",Main Account,0.31420206 BTC,99.80 USD,317.63 USD,0.20 USD,Buy
Withdrawal,"Nov. 25, 2015, 09:56 AM",Main Account,0.31420206 BTC,,,,
Market,"Dec. 12, 2015, 09:59 AM",Main Account,0.47007540 BTC,199.50 USD,424.40 USD,0.50 USD,Buy
Withdrawal,"Dec. 12, 2015, 10:51 AM",Main Account,0.47007540 BTC,,,,
Market,"Jan. 12, 2016, 09:28 AM",Main Account,0.39218153 BTC,174.56 USD,445.10 USD,0.44 USD,Buy
Withdrawal,"Jan. 12, 2016, 09:36 AM",Main Account,0.39218153 BTC,,,,
Market,"Feb. 03, 2016, 11:12 AM",Main Account,0.26832549 BTC,99.75 USD,371.75 USD,0.25 USD,Buy
Withdrawal,"Feb. 03, 2016, 11:17 AM",Main Account,0.26832549 BTC,,,,
Market,"Feb. 11, 2016, 09:58 PM",Main Account,0.26544787 BTC,99.75 USD,375.78 USD,0.25 USD,Buy
Withdrawal,"Feb. 11, 2016, 10:10 PM",Main Account,0.26544787 BTC,,,,
Market,"Feb. 17, 2016, 02:42 PM",Main Account,0.35719742 BTC,149.63 USD,418.90 USD,0.38 USD,Buy
Withdrawal,"Feb. 17, 2016, 02:46 PM",Main Account,0.35719742 BTC,,,,
Market,"Feb. 25, 2016, 11:18 PM",Main Account,0.58884088 BTC,249.38 USD,423.51 USD,0.63 USD,Buy
Withdrawal,"Feb. 25, 2016, 11:28 PM",Main Account,0.58884088 BTC,,,,
Market,"Mar. 22, 2016, 06:14 AM",Main Account,0.38386608 BTC,159.60 USD,415.77 USD,0.40 USD,Buy
Withdrawal,"Mar. 22, 2016, 06:21 AM",Main Account,0.38386608 BTC,,,,
